country,continent,sub_region,,
Afghanistan,Asia,Southern Asia,,
Albania,Europe,Southern Europe,,
Algeria,Africa,Northern Africa,,
Andorra,Europe,Southern Europe,,
Angola,Africa,Sub-Saharan Africa,,
Antigua and Barbuda,North America,Latin America,,
Argentina,South America,Latin America,,
Armenia,Asia,Western Asia,,
Australia,Oceania,Australia and New Zealand,,
Austria,Europe,Western Europe,,
Azerbaijan,Asia,Western Asia,,
Bahamas,North America,Latin America,,
Bahrain,Asia,Western Asia,,
Bangladesh,Asia,Southern Asia,,
Barbados,North America,Latin America,,
Belarus,Europe,Eastern Europe,,
Belgium,Europe,Western Europe,,
Belize,North America,Latin America,,
Benin,Africa,Sub-Saharan Africa,,
Bhutan,Asia,Southern Asia,,
Bolivia,South America,Latin America	,,
Bosnia and Herzegovina,Europe,Southern Europe,,
Botswana,Africa,Sub-Saharan Africa,,
Brazil,South America,Latin America,,
Brunei,Asia,South-eastern Asia,,
Bulgaria,Europe,Eastern Europe,,
Burkina Faso,Africa,Sub-Saharan Africa,,
Burma,Asia,South-eastern Asia,,
Burundi,Africa,Sub-Saharan Africa,,
Cambodia,Asia,South-eastern Asia,,
Cameroon,Africa,Sub-Saharan Africa,,
Canada,North America,Northern America,,
Central African Republic,Africa,Sub-Saharan Africa,,
Chad,Africa,Sub-Saharan Africa,,
Chile,South America,Latin America,,
China,Asia,Eastern Asia,,
Colombia,South America,Latin America,,
Costa Rica,North America,Latin America,,
Cote d'Ivoire,Africa,Sub-Saharan Africa,,
Croatia,Europe,Southern Europe,,
Cuba,North America,Latin America,,
Cyprus,Europe,Western Asia,,
Denmark,Europe,Northern Europe,,
Djibouti,Africa,Sub-Saharan Africa,,
Dominica,North America,Latin America,,
Dominican Republic,North America,Latin America,,
Ecuador,South America,Latin America,,
Egypt,Africa,Northern Africa,,
El Salvador,North America,Latin America,,
Equatorial Guinea,Africa,Sub-Saharan Africa,,
Eritrea,Africa,Sub-Saharan Africa,,
Estonia,Europe,Northern Europe,,
Ethiopia,Africa,Sub-Saharan Africa,,
Fiji,Oceania,Melanesia,,
Finland,Europe,Northern Europe,,
France,Europe,Western Europe,,
Gabon,Africa,Sub-Saharan Africa,,
Gambia,Africa,Sub-Saharan Africa,,
Georgia,Asia,Western Asia,,
Germany,Europe,Western Europe,,
Ghana,Africa,Sub-Saharan Africa,,
Greece,Europe,Southern Europe,,
Grenada,North America,Latin America,,
Guatemala,North America,Latin America,,
Guinea,Africa,Sub-Saharan Africa,,
Guinea-Bissau,Africa,Sub-Saharan Africa,,
Guyana,South America,Latin America,,
Haiti,North America,Latin America,,
Holy See,Antarctica,Southern Europe,,
Honduras,North America,Latin America,,
Hungary,Europe,Eastern Europe,,
Iceland,Europe,Northern Europe,,
India,Asia,Southern Asia,,
Indonesia,Asia,South-eastern Asia,,
Iran,Asia,Southern Asia,,
Iraq,Asia,Western Asia,,
Ireland,Europe,Northern Europe,,
Israel,Asia,Western Asia,,
Italy,Europe,Southern Europe,,
Jamaica,North America,Latin America,,
Japan,Asia,Eastern Asia,,
Jordan,Asia,Western Asia,,
Kazakhstan,Asia,Central Asia,,
Kenya,Africa,Sub-Saharan Africa,,
"Korea, South",Asia,Eastern Asia,,
Kuwait,Asia,Western Asia,,
Laos,Asia,South-eastern Asia,,
Latvia,Europe,Northern Europe,,
Lebanon,Asia,Western Asia,,
Liberia,Africa,Sub-Saharan Africa,,
Libya,Africa,Northern Africa,,
Liechtenstein,Europe,Western Europe,,
Lithuania,Europe,Northern Europe,,
Luxembourg,Europe,Western Europe,,
Madagascar,Africa,Sub-Saharan Africa,,
Malawi,Africa,Sub-Saharan Africa,,
Malaysia,Asia,South-eastern Asia,,
Maldives,Asia,Southern Asia,,
Mali,Africa,Sub-Saharan Africa,,
Malta,Europe,Southern Europe,,
Mauritania,Africa,Sub-Saharan Africa,,
Mauritius,Africa,Sub-Saharan Africa,,
Mexico,North America,Latin America,,
Moldova,Europe,Eastern Europe,,
Monaco,Europe,Western Europe,,
Mongolia,Asia,Eastern Asia,,
Montenegro,Europe,Southern Europe,,
Morocco,Africa,Northern Africa,,
Mozambique,Africa,Sub-Saharan Africa,,
Namibia,Africa,Sub-Saharan Africa,,
Nepal,Asia,Southern Asia,,
Netherlands,Europe,Western Europe,,
New Zealand,Oceania,Australia and New Zealand,,
Nicaragua,North America,Latin America,,
Niger,Africa,Sub-Saharan Africa,,
Nigeria,Africa,Sub-Saharan Africa,,
Norway,Europe,Northern Europe,,
Oman,Asia,Western Asia,,
Pakistan,Asia,Southern Asia,,
Panama,North America,Latin America,,
Papua New Guinea,Oceania,Melanesia,,
Paraguay,South America,Latin America,,
Peru,South America,Latin America,,
Philippines,Asia,South-eastern Asia,,
Poland,Europe,Eastern Europe,,
Portugal,Europe,Southern Europe,,
Qatar,Asia,Western Asia,,
Romania,Europe,Eastern Europe,,
Russia,Europe,Eastern Europe,,
Rwanda,Africa,Sub-Saharan Africa,,
San Marino,Europe,Southern Europe,,
Sao Tome and Principe,Africa,Sub-Saharan Africa,,
Saudi Arabia,Asia,Western Asia,,
Senegal,Africa,Sub-Saharan Africa,,
Serbia,Europe,Southern Europe,,
Seychelles,Africa,Sub-Saharan Africa,,
Sierra Leone,Africa,Sub-Saharan Africa,,
Singapore,Asia,South-eastern Asia,,
Slovenia,Europe,Southern Europe,,
Somalia,Africa,Sub-Saharan Africa,,
South Africa,Africa,Sub-Saharan Africa,,
South Sudan,Africa,Sub-Saharan Africa,,
Spain,Europe,Southern Europe,,
Sri Lanka,Asia,Southern Asia,,
Sudan,Africa,Northern Africa,,
Suriname,South America,Latin America,,
Sweden,Europe,Northern Europe,,
Switzerland,Europe,Western Europe,,
Syria,Asia,Western Asia,,
Taiwan*,Asia,Eastern Asia,,
Tanzania,Africa,Sub-Saharan Africa,,
Thailand,Asia,South-eastern Asia,,
Timor-Leste,Asia,South-eastern Asia,,
Togo,Africa,Sub-Saharan Africa,,
Trinidad and Tobago,North America,Latin America,,
Tunisia,Africa,Northern Africa,,
Turkey,Asia,Western Asia,,
Uganda,Africa,Sub-Saharan Africa,,
Ukraine,Europe,Eastern Europe,,
United Arab Emirates,Asia,Western Asia,,
United Kingdom,Europe,Northern Europe,,
Uruguay,South America,Latin America,,
US,North America,Northern America,,
Uzbekistan,Asia,Central Asia,,
Venezuela,South America,Latin America,,
Vietnam,Asia,South-eastern Asia,,
West Bank and Gaza,Asia,Western Asia,,
Western Sahara,Africa,Sub-Saharan Africa,,
Zambia,Africa,Sub-Saharan Africa,,
Zimbabwe,Africa,Sub-Saharan Africa,,
