country,continent,sub_region
Afghanistan,Asia,Southern Asia
Albania,Europe,Southern Europe
Algeria,Africa,Northern Africa
Andorra,Europe,Southern Europe
Angola,Africa,Sub-Saharan Africa
Antigua and Barbuda,North America,Latin America and the Caribbean
Argentina,South America,Latin America and the Caribbean
Armenia,Asia,Western Asia
Australia,Oceania,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Asia,Western Asia
Bahamas,North America,Latin America and the Caribbean
Bahrain,Asia,Western Asia
Bangladesh,Asia,Southern Asia
Barbados,North America,Latin America and the Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,North America,Latin America and the Caribbean
Benin,Africa,Sub-Saharan Africa
Bhutan,Asia,Southern Asia
Bolivia,South America,
Bosnia and Herzegovina,Europe,Southern Europe
Botswana,Africa,Sub-Saharan Africa
Brazil,South America,Latin America and the Caribbean
Brunei,Asia,
Bulgaria,Europe,Eastern Europe
Burkina Faso,Africa,Sub-Saharan Africa
Burundi,Africa,Sub-Saharan Africa
Cambodia,Asia,South-eastern Asia
Cameroon,Africa,Sub-Saharan Africa
Canada,North America,Northern America
Cape Verde,Africa,
Central African Republic,Africa,Sub-Saharan Africa
Chad,Africa,Sub-Saharan Africa
Chile,South America,Latin America and the Caribbean
China,Asia,Eastern Asia
Colombia,South America,Latin America and the Caribbean
Comoros,Africa,Sub-Saharan Africa
"Congo, Dem. Rep.",Africa,
"Congo, Rep.",Africa,
Costa Rica,North America,Latin America and the Caribbean
Cote d'Ivoire,North America,
Croatia,Europe,Southern Europe
Cuba,North America,Latin America and the Caribbean
Cyprus,Europe,Western Asia
Czech Republic,Europe,
Denmark,Europe,Northern Europe
Djibouti,Africa,Sub-Saharan Africa
Dominica,North America,Latin America and the Caribbean
Dominican Republic,North America,Latin America and the Caribbean
Ecuador,South America,Latin America and the Caribbean
Egypt,Africa,Northern Africa
El Salvador,North America,Latin America and the Caribbean
Equatorial Guinea,Africa,Sub-Saharan Africa
Eritrea,Africa,Sub-Saharan Africa
Estonia,Europe,Northern Europe
Ethiopia,Africa,Sub-Saharan Africa
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
Gabon,Africa,Sub-Saharan Africa
Gambia,Africa,Sub-Saharan Africa
Georgia,Asia,Western Asia
Germany,Europe,Western Europe
Ghana,Africa,Sub-Saharan Africa
Greece,Europe,Southern Europe
Grenada,North America,Latin America and the Caribbean
Guatemala,North America,Latin America and the Caribbean
Guinea,Africa,Sub-Saharan Africa
Guinea-Bissau,Africa,Sub-Saharan Africa
Guyana,South America,Latin America and the Caribbean
Haiti,North America,Latin America and the Caribbean
Holy See,Antarctica,Southern Europe
Honduras,North America,Latin America and the Caribbean
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,Southern Asia
Indonesia,Asia,South-eastern Asia
Iran,Asia,
Iraq,Asia,Western Asia
Ireland,Europe,Northern Europe
Israel,Asia,Western Asia
Italy,Europe,Southern Europe
Jamaica,North America,Latin America and the Caribbean
Japan,Asia,Eastern Asia
Jordan,Asia,Western Asia
Kazakhstan,Asia,Central Asia
Kenya,Africa,Sub-Saharan Africa
Kiribati,Oceania,Micronesia
Kuwait,Asia,Western Asia
Kyrgyz Republic,Asia,
Lao,Asia,
Latvia,Europe,Northern Europe
Lebanon,Asia,Western Asia
Lesotho,Africa,Sub-Saharan Africa
Liberia,Africa,Sub-Saharan Africa
Libya,Africa,Northern Africa
Liechtenstein,Europe,Western Europe
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
"Macedonia, FYR",Europe,
Madagascar,Africa,Sub-Saharan Africa
Malawi,Africa,Sub-Saharan Africa
Malaysia,Asia,South-eastern Asia
Maldives,Asia,Southern Asia
Mali,Africa,Sub-Saharan Africa
Malta,Europe,Southern Europe
Marshall Islands,Oceania,Micronesia
Mauritania,Africa,Sub-Saharan Africa
Mauritius,Africa,Sub-Saharan Africa
Mexico,North America,Latin America and the Caribbean
"Micronesia, Fed. Sts.",Oceania,
Moldova,Europe,
Monaco,Europe,Western Europe
Mongolia,Asia,Eastern Asia
Montenegro,Europe,Southern Europe
Morocco,Africa,Northern Africa
Mozambique,Africa,Sub-Saharan Africa
Myanmar,Asia,South-eastern Asia
Namibia,Africa,Sub-Saharan Africa
Nauru,Oceania,Micronesia
Nepal,Asia,Southern Asia
Netherlands,Europe,Western Europe
New Zealand,Oceania,Australia and New Zealand
Nicaragua,North America,Latin America and the Caribbean
Niger,Africa,Sub-Saharan Africa
Nigeria,Africa,Sub-Saharan Africa
North Korea,Asia,
Norway,Europe,Northern Europe
Oman,Asia,Western Asia
Pakistan,Asia,Southern Asia
Palau,Oceania,Micronesia
Palestine,Oceania,
Panama,North America,Latin America and the Caribbean
Papua New Guinea,Oceania,Melanesia
Paraguay,South America,Latin America and the Caribbean
Peru,South America,Latin America and the Caribbean
Philippines,Asia,South-eastern Asia
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Qatar,Asia,Western Asia
Romania,Europe,Eastern Europe
Russia,Europe,
Rwanda,Africa,Sub-Saharan Africa
Samoa,Oceania,Polynesia
San Marino,Europe,Southern Europe
Sao Tome and Principe,Africa,Sub-Saharan Africa
Saudi Arabia,Asia,Western Asia
Senegal,Africa,Sub-Saharan Africa
Serbia,Europe,Southern Europe
Seychelles,Africa,Sub-Saharan Africa
Sierra Leone,Africa,Sub-Saharan Africa
Singapore,Asia,South-eastern Asia
Slovak Republic,North America,
Slovenia,Europe,Southern Europe
Solomon Islands,Oceania,Melanesia
Somalia,Africa,Sub-Saharan Africa
South Africa,Africa,Sub-Saharan Africa
South Korea,Asia,
South Sudan,Africa,Sub-Saharan Africa
Spain,Europe,Southern Europe
Sri Lanka,Asia,Southern Asia
St. Kitts and Nevis,Asia,
St. Lucia,Asia,
St. Vincent and the Grenadines,Asia,
Sudan,Africa,Northern Africa
Suriname,South America,Latin America and the Caribbean
Swaziland,Africa,
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Syria,Asia,
Tajikistan,Asia,Central Asia
Tanzania,Africa,
Thailand,Asia,South-eastern Asia
Timor-Leste,Asia,South-eastern Asia
Togo,Africa,Sub-Saharan Africa
Tonga,Oceania,Polynesia
Trinidad and Tobago,North America,Latin America and the Caribbean
Tunisia,Africa,Northern Africa
Turkey,Asia,Western Asia
Turkmenistan,Asia,Central Asia
Tuvalu,Oceania,Polynesia
Uganda,Africa,Sub-Saharan Africa
Ukraine,Europe,Eastern Europe
United Arab Emirates,Asia,Western Asia
United Kingdom,Europe,
United States,North America,
Uruguay,South America,Latin America and the Caribbean
Uzbekistan,Asia,Central Asia
Vanuatu,Oceania,Melanesia
Venezuela,South America,
Vietnam,Asia,
Yemen,Asia,Western Asia
Zambia,Africa,Sub-Saharan Africa
Zimbabwe,Africa,Sub-Saharan Africa
